Id_AFAD,Year,Month,Day,Hour,Min,Sec,Ev_Lat,Ev_Lon,Ev_Depth,Ml,StdMl,Rms,Erh,Erz,Gap,Np,Ns,Ntot,CovX,CovY,CovZ,CovT
437774,2019,4,19,3,44,13.39,38.7397,38.1348,22.41,2.59,0.26,0.12,0.8,1.1,72,8,8,16,0.3,0.4,1.3,1.4
437798,2019,4,19,8,54,21.32,38.7917,38.1612,30.26,3.46,0.26,0.17,1.2,1.9,100,8,9,17,0.8,0.5,3.7,3.8
437819,2019,4,19,14,19,33.18,38.7467,38.1473,21.3,3.29,0.21,0.24,1.1,1.1,75,10,11,21,0.3,0.8,1.2,1.5
437838,2019,4,19,23,10,35.87,38.7383,38.1332,23.23,3.77,0.29,0.2,1,1.1,51,15,10,25,0.4,0.5,1.2,1.3
437844,2019,4,20,1,39,27.36,38.481,39.2583,12.12,3.51,0.19,0.89,2.2,5,69,15,8,23,3.3,1.7,25.1,25.4
437892,2019,4,20,22,9,2.36,39.6463,41.2773,16.9,2.78,0.26,0.18,1,1.4,150,11,8,19,0.5,0.5,2.1,2.2
438017,2019,4,22,22,8,32.52,38.3617,38.9953,6.36,2.97,0.24,0.22,1.3,1.6,72,14,10,24,0.6,1,2.6,2.8
438035,2019,4,23,2,12,58.78,38.4657,39.3068,9.72,3.39,0.2,0.3,1,1.7,70,14,6,20,0.6,0.4,3,3.1
438058,2019,4,23,11,2,37.95,37.1877,36.211,15.86,2.92,0.19,0.3,1.6,1,50,17,17,34,0.7,1.8,1,2.2
438075,2019,4,23,21,14,26.09,37.75,36.5158,8.04,2.39,0.17,0.29,1,1.9,128,14,14,28,0.3,0.7,3.6,3.7
438081,2019,4,24,1,19,8.76,37.5757,36.3103,8.19,2.45,0.2,0.32,1.4,0.7,64,19,15,34,0.5,1.5,0.5,1.7
438104,2019,4,24,10,54,16.49,39.2457,38.0993,6.38,2.83,0.17,0.24,1.3,1.8,57,11,10,21,0.8,1,3.3,3.5
438222,2019,4,26,5,2,5.14,37.383,37.0383,7.52,3.14,0.16,0.26,1.2,0.6,68,17,16,33,0.9,0.5,0.4,1.2
